hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,safety_score,high_risk
8,2.18,15.8,6.9,2,0,0,0,100.0,0
23,7.1,37.8,0.2,4,0,2,0,56.4,1
9,3.18,27.4,4.7,2,0,1,0,100.0,0
7,3.73,91.7,5.3,1,1,0,1,100.0,0
21,3.45,43.1,18.5,5,0,1,0,79.8,0
8,1.7,19.0,0.6,1,1,0,1,100.0,0
1,5.93,56.1,87.9,2,0,2,0,35.5,1
11,3.75,37.7,22.2,2,0,3,0,60.5,1
19,0.43,23.2,26.3,1,0,0,0,87.2,0
4,7.72,6.5,5.7,3,1,2,0,52.9,1
11,6.58,62.0,11.6,0,1,2,1,74.5,0
3,5.87,131.9,56.3,3,0,0,1,64.8,1
16,6.99,10.0,15.8,1,0,1,0,86.9,0
11,7.28,26.8,72.4,5,0,1,0,100.0,0
7,2.9,55.4,2.5,5,1,0,0,100.0,0
5,5.0,9.0,187.7,2,0,1,0,68.3,0
13,4.99,6.0,12.7,2,1,1,0,100.0,0
16,2.36,2.1,1.9,1,0,1,0,100.0,0
22,2.01,0.9,51.2,3,0,0,0,74.8,0
10,1.18,4.2,5.0,4,1,0,0,100.0,0
3,5.38,19.1,13.6,2,1,0,0,78.1,0
19,6.31,79.7,2.2,2,0,1,0,71.1,0
15,6.16,81.0,11.6,2,0,0,1,82.1,0
16,2.74,39.7,2.1,2,1,3,1,87.8,0
2,1.88,95.8,7.4,5,0,1,0,75.6,0
7,3.79,42.1,9.3,1,0,1,1,81.9,0
18,4.51,4.6,34.6,2,1,1,1,98.3,0
19,7.38,30.6,7.7,0,1,0,0,100.0,0
10,7.04,43.9,7.4,0,1,1,1,95.7,0
19,7.35,34.6,13.9,3,0,0,0,90.9,0
20,6.85,57.2,2.6,5,1,3,0,71.8,0
9,7.73,18.3,11.7,4,0,0,1,93.6,0
21,3.88,75.9,11.4,5,0,1,1,95.2,0
6,0.67,72.2,22.2,2,0,0,0,100.0,0
5,0.94,13.0,2.3,0,0,2,1,69.7,0
16,3.31,124.1,5.4,3,1,0,1,100.0,0
15,2.28,28.6,34.2,4,0,1,0,97.4,0
3,1.61,103.7,10.7,1,1,0,0,75.1,0
19,7.64,43.5,11.5,0,1,0,1,82.4,0
4,1.8,4.6,10.6,0,0,0,0,66.9,1
19,7.69,10.0,3.6,3,1,0,0,89.6,0
0,6.16,170.0,34.9,5,0,1,0,74.2,0
19,5.24,36.3,38.0,4,0,1,0,86.0,0
18,5.51,80.5,12.0,3,0,0,1,89.3,0
18,2.85,44.6,12.1,2,0,0,0,100.0,0
15,5.28,23.2,22.2,3,0,1,0,95.3,0
11,1.74,137.6,54.9,1,1,0,0,93.6,0
16,7.52,27.2,127.6,1,0,1,0,71.5,0
6,2.62,61.8,3.4,2,1,2,0,86.9,0
18,2.26,9.1,7.3,1,1,0,0,100.0,0
13,5.78,15.6,8.7,4,1,0,1,100.0,0
11,5.35,203.5,20.3,3,1,2,0,92.3,0
12,3.78,108.6,27.8,1,1,0,0,100.0,0
13,5.17,200.4,14.3,1,0,0,0,86.2,0
0,1.53,165.4,2.1,1,0,1,1,40.5,1
3,5.48,77.3,7.7,0,0,0,0,78.7,0
5,2.38,95.4,31.8,2,0,0,0,100.0,0
2,2.4,139.9,26.6,3,0,2,1,65.5,1
10,1.55,23.1,1.3,5,0,2,0,100.0,0
16,2.86,14.3,20.9,5,0,0,0,100.0,0
15,2.85,3.8,21.7,1,1,0,0,94.8,0
11,3.8,54.0,50.5,3,1,0,0,100.0,0
20,1.77,13.2,83.9,1,1,0,0,69.6,0
13,1.79,42.8,0.1,3,1,3,0,87.2,0
1,4.47,29.1,25.3,4,0,4,0,39.1,1
18,1.29,63.9,20.1,1,0,2,0,74.6,0
13,5.6,4.7,0.2,3,0,1,0,100.0,0
15,7.57,65.6,5.5,4,1,0,1,100.0,0
13,3.59,3.1,17.2,2,0,1,0,100.0,0
13,7.24,23.2,38.6,4,1,1,0,99.9,0
2,1.06,72.5,65.0,2,1,0,0,83.4,0
13,0.63,13.3,6.6,4,0,2,1,96.0,0
19,5.85,113.2,12.8,2,1,0,0,98.3,0
7,6.16,175.9,24.8,6,0,0,0,91.5,0
14,6.79,20.7,13.5,3,1,0,0,100.0,0
0,0.74,65.7,24.8,1,0,1,0,66.2,1
8,6.28,4.0,31.1,2,0,1,0,85.3,0
10,3.2,144.4,38.7,4,0,1,0,95.6,0
23,2.64,15.0,24.8,0,0,1,0,39.4,1
5,1.63,175.5,23.1,2,0,0,1,92.2,0
6,7.97,40.9,8.1,2,0,0,0,96.1,0
9,0.79,12.6,5.7,3,0,2,0,85.1,0
23,6.67,16.1,47.3,1,0,1,0,45.2,1
20,5.22,161.7,22.0,3,1,0,0,87.2,0
0,5.96,40.6,22.3,2,0,1,0,48.9,1
5,5.78,108.1,2.0,1,1,2,1,85.4,0
19,6.91,56.2,25.6,1,1,0,0,99.3,0
1,1.72,90.3,0.0,3,0,2,1,53.8,1
20,0.31,15.5,7.7,1,0,1,0,98.3,0
6,4.91,41.8,8.8,5,0,1,0,100.0,0
22,3.02,49.8,29.3,2,0,1,0,61.4,1
7,1.25,36.4,7.9,1,0,0,0,89.6,0
10,1.73,38.3,19.3,2,0,1,1,93.0,0
15,2.85,155.7,20.9,3,0,1,0,76.7,0
3,0.84,137.9,80.6,0,1,1,0,50.4,1
13,0.74,55.0,46.2,2,0,2,0,98.6,0
12,7.35,5.6,23.3,1,1,0,0,94.4,0
18,2.7,13.6,5.0,1,0,0,1,88.3,0
23,7.86,56.4,21.0,1,1,0,0,84.0,0
15,7.73,6.5,14.0,3,1,0,0,100.0,0
9,1.4,15.2,1.4,0,0,0,0,85.5,0
9,5.8,37.3,28.2,0,1,0,1,100.0,0
10,4.93,37.5,7.5,1,1,0,0,100.0,0
19,5.62,38.2,15.7,3,1,0,0,90.7,0
7,1.04,3.3,25.7,1,0,0,0,100.0,0
4,1.75,10.3,41.7,1,1,2,1,40.5,1
8,0.89,114.4,20.1,0,0,1,0,76.0,0
0,4.95,30.5,55.2,0,0,1,1,35.5,1
2,7.9,224.3,0.8,1,0,1,1,31.2,1
2,5.47,8.4,6.7,0,0,1,1,54.7,1
18,5.77,71.2,34.3,3,0,0,0,100.0,0
17,7.88,25.6,18.4,2,1,1,0,81.7,0
16,5.52,27.0,10.1,1,0,0,0,99.4,0
11,0.61,139.2,9.2,0,0,0,0,83.8,0
17,6.98,277.8,28.4,5,1,0,0,100.0,0
3,3.11,136.3,5.1,3,1,0,1,83.0,0
21,0.33,180.3,47.4,2,0,1,0,83.1,0
12,4.21,71.6,10.2,2,1,2,1,84.0,0
22,7.52,143.2,1.7,0,1,0,1,48.1,1
3,2.28,5.4,23.8,0,1,5,0,37.4,1
11,4.08,45.8,2.2,3,1,0,1,100.0,0
16,1.64,42.7,31.2,2,0,0,1,100.0,0
11,0.74,17.8,10.0,4,1,1,0,100.0,0
10,0.92,19.8,30.7,3,1,1,1,100.0,0
3,5.9,47.3,19.8,3,1,2,1,65.0,1
9,6.95,2.5,8.5,1,0,0,0,92.0,0
5,1.4,57.5,17.8,1,0,0,0,100.0,0
7,2.52,4.8,26.5,1,0,0,0,100.0,0
16,1.8,14.7,3.4,4,0,1,0,97.7,0
15,0.51,47.8,19.1,2,0,2,0,72.2,0
14,4.56,16.2,4.9,5,1,0,1,100.0,0
8,5.69,258.7,2.7,1,1,0,1,95.6,0
23,5.29,48.6,35.2,4,0,1,0,57.6,1
2,3.29,56.4,7.2,1,0,1,1,46.2,1
8,4.57,1.5,52.7,1,1,0,1,96.1,0
2,1.02,164.7,26.4,6,0,1,1,63.5,1
8,1.49,38.5,3.0,1,0,1,0,80.5,0
23,7.47,14.3,11.5,2,0,2,0,52.7,1
8,6.16,22.3,22.5,2,0,1,0,99.8,0
21,7.41,107.9,38.0,2,0,0,1,73.0,0
11,7.36,198.1,34.4,5,1,1,0,100.0,0
16,5.3,45.9,18.9,2,1,1,1,79.7,0
10,7.45,14.7,52.8,1,0,0,0,95.9,0
6,3.51,9.3,9.1,2,0,2,0,76.0,0
18,0.33,0.5,8.0,2,0,0,0,100.0,0
23,0.78,31.2,10.3,4,1,0,1,99.2,0
6,1.14,176.5,42.2,2,1,1,0,92.4,0
18,1.03,75.9,40.6,5,0,0,1,100.0,0
6,3.01,15.4,1.7,1,1,0,0,88.7,0
17,5.7,55.1,39.6,1,0,0,0,99.4,0
18,6.39,32.4,4.7,0,1,1,0,100.0,0
10,4.84,40.8,8.7,4,0,0,0,100.0,0
17,1.43,64.8,0.6,1,1,0,0,100.0,0
6,6.06,11.3,5.3,1,0,2,1,69.0,0
1,3.03,87.2,5.1,2,1,0,0,86.4,0
2,0.4,213.9,14.1,4,0,1,0,58.8,1
10,2.46,1.5,9.9,3,1,2,0,98.5,0
21,2.85,71.4,1.3,4,0,0,0,100.0,0
3,2.41,60.3,42.8,2,0,1,0,57.9,1
10,6.55,5.7,36.5,0,1,3,1,78.0,0
16,6.15,51.7,44.5,1,1,2,0,75.8,0
4,5.66,23.1,9.9,1,0,0,0,78.5,0
17,1.37,106.0,30.4,1,0,1,0,80.6,0
7,6.52,90.8,3.3,2,1,2,0,95.4,0
19,5.51,226.2,24.8,7,1,1,0,88.9,0
13,1.8,50.5,4.8,0,0,0,0,91.9,0
13,5.29,3.1,34.9,0,0,0,0,90.0,0
4,4.02,2.9,44.7,2,0,0,0,47.4,1
11,3.68,5.6,4.2,4,0,0,0,100.0,0
20,1.16,28.1,19.3,1,1,1,0,99.9,0
0,4.29,116.0,22.9,2,1,1,1,41.4,1
18,1.07,31.7,6.0,2,1,0,0,100.0,0
11,1.56,3.6,13.5,0,0,0,1,93.1,0
17,1.32,119.6,43.7,0,1,0,0,80.5,0
15,7.65,128.5,23.5,0,0,2,0,79.3,0
10,2.49,5.2,14.7,2,1,0,0,100.0,0
7,3.04,47.5,22.9,0,1,0,0,100.0,0
15,2.78,27.2,64.5,3,0,1,1,91.8,0
3,7.22,58.4,1.3,1,0,0,1,70.0,0
14,4.63,164.4,3.5,3,0,2,0,81.3,0
2,7.38,19.0,36.7,3,1,1,0,67.6,0
15,2.61,147.5,23.0,1,0,0,0,93.9,0
15,1.18,51.9,1.5,3,0,1,0,100.0,0
2,4.58,54.6,2.2,1,0,0,0,55.8,1
18,2.96,50.6,31.0,1,1,0,0,100.0,0
9,6.47,56.1,14.3,0,0,1,1,53.7,1
18,7.07,18.2,27.9,1,0,1,0,88.7,0
0,3.94,29.1,46.3,2,0,2,1,49.5,1
4,7.78,122.1,9.8,5,1,1,0,72.4,0
11,4.56,21.5,10.2,2,0,2,1,91.4,0
4,2.39,177.6,5.1,1,0,3,0,22.1,1
7,4.07,27.1,30.3,2,0,1,0,99.4,0
15,0.59,49.2,0.4,2,1,0,0,100.0,0
3,6.49,83.0,61.9,0,0,1,0,33.6,1
16,1.08,173.7,1.7,4,0,1,0,96.7,0
2,2.68,5.6,34.3,5,1,1,1,76.0,0
4,4.65,115.6,1.1,0,0,0,0,67.9,0
14,0.63,63.8,2.3,0,1,1,1,85.8,0
19,0.91,37.4,8.6,7,1,2,0,100.0,0
4,5.66,40.4,10.5,2,0,0,0,80.2,0
7,0.85,7.8,13.9,1,1,0,0,100.0,0
22,3.97,14.9,20.9,1,1,0,0,74.8,0
23,2.91,13.5,23.3,3,0,0,0,74.2,0
13,2.06,21.9,7.5,5,0,1,0,100.0,0
10,1.75,68.3,8.6,2,0,0,0,100.0,0
8,6.18,71.9,2.7,0,1,1,0,100.0,0
14,7.63,90.7,19.4,1,0,2,0,75.8,0
14,1.38,113.6,3.9,2,1,0,0,100.0,0
7,7.69,35.0,17.0,3,1,0,0,100.0,0
0,4.88,203.2,69.0,1,1,0,0,61.9,1
3,5.24,0.4,3.9,1,0,2,0,23.7,1
23,5.77,75.9,0.5,1,0,0,1,42.1,1
10,5.72,59.9,47.8,2,1,0,0,100.0,0
11,6.61,7.2,7.0,7,0,2,0,100.0,0
11,4.02,133.3,11.3,3,0,1,1,77.0,0
18,4.41,110.6,13.2,3,1,1,1,89.6,0
1,2.79,165.6,58.9,0,0,0,0,37.8,1
1,1.11,11.1,36.6,6,0,1,1,73.2,0
6,5.42,13.1,0.4,2,0,0,1,99.4,0
11,0.56,37.0,31.5,2,0,0,1,100.0,0
16,2.42,7.5,24.2,1,0,0,0,97.5,0
11,1.03,36.0,12.3,1,1,1,1,100.0,0
10,1.77,73.6,38.6,1,0,1,0,93.7,0
22,5.22,21.2,22.4,5,1,0,0,78.7,0
3,5.14,73.2,12.8,1,1,0,0,71.2,0
13,3.54,18.1,6.0,4,0,1,1,91.1,0
13,0.99,21.9,10.9,3,1,1,0,100.0,0
11,3.64,187.5,38.3,2,0,1,1,76.0,0
19,3.02,0.3,96.7,3,0,1,0,89.1,0
6,5.85,85.2,7.1,0,1,2,1,86.9,0
22,4.76,45.4,13.0,2,0,1,1,49.3,1
7,4.09,40.2,45.7,1,1,1,1,76.4,0
13,4.05,17.1,41.3,1,0,1,0,81.8,0
12,7.74,59.7,24.9,3,1,2,1,88.4,0
20,6.12,24.8,3.9,2,1,0,1,78.8,0
10,4.13,22.0,20.9,3,0,1,1,94.4,0
6,3.99,22.2,1.4,2,0,1,0,100.0,0
0,0.5,19.2,38.1,3,1,1,0,74.4,0
8,7.56,3.0,8.2,2,1,3,0,78.8,0
19,2.76,244.8,11.9,3,0,1,0,86.3,0
0,2.27,22.1,48.0,3,1,1,0,70.2,0
21,8.0,45.6,55.0,4,0,0,1,100.0,0
13,5.83,55.8,10.5,5,1,1,0,100.0,0
3,0.66,5.6,7.5,2,1,2,0,65.8,1
7,0.78,195.7,3.1,0,1,1,0,92.3,0
13,0.5,28.7,22.7,0,1,0,0,100.0,0
7,4.92,11.7,11.9,2,0,1,0,90.7,0
2,0.85,12.5,4.1,7,0,2,0,58.3,1
15,7.49,29.2,9.4,4,1,0,0,100.0,0
16,7.51,38.1,32.5,1,1,2,0,70.7,0
2,4.5,26.0,9.6,0,1,2,1,47.5,1
6,5.05,7.1,27.7,1,0,0,0,73.0,0
5,2.55,2.7,12.1,4,0,2,1,97.7,0
15,0.79,86.4,16.7,2,1,1,0,100.0,0
17,5.98,99.9,33.3,2,0,2,1,72.9,0
17,1.08,8.1,19.5,0,0,2,0,71.3,0
22,0.96,59.6,2.6,1,0,0,0,60.5,1
18,2.7,80.5,7.3,1,0,1,0,100.0,0
7,0.4,121.3,27.9,1,1,0,0,100.0,0
2,3.64,132.6,4.5,5,1,0,0,79.0,0
14,5.75,38.5,11.5,2,0,0,0,100.0,0
21,6.47,34.8,1.3,1,1,1,0,82.9,0
23,4.95,83.1,22.0,0,1,1,0,52.7,1
5,6.82,52.0,29.8,2,0,1,0,82.1,0
5,3.43,13.4,13.5,3,0,0,0,98.5,0
0,6.84,0.6,9.7,3,0,1,0,48.7,1
3,4.2,139.3,2.8,3,0,1,0,52.5,1
13,2.02,22.6,49.3,1,1,0,1,100.0,0
13,7.57,19.7,14.4,3,0,2,0,78.7,0
8,2.42,145.5,26.5,5,0,1,0,90.3,0
7,0.5,38.6,34.1,3,1,1,1,100.0,0
19,2.17,9.5,14.4,0,1,1,0,71.2,0
11,3.12,101.9,12.0,3,0,0,1,98.0,0
19,3.01,5.3,10.9,5,1,0,0,100.0,0
23,4.34,225.2,25.3,2,0,2,0,47.3,1
7,7.1,46.7,6.5,2,1,1,0,80.3,0
4,2.55,86.2,21.1,1,0,1,0,62.1,1
22,4.31,69.6,7.9,2,0,1,0,56.4,1
15,2.92,42.2,56.4,4,0,0,0,100.0,0
6,6.63,36.9,14.9,3,1,0,0,100.0,0
14,1.51,51.0,45.5,0,1,0,0,94.4,0
12,1.1,18.3,20.0,3,0,1,1,91.8,0
21,4.17,65.9,0.6,4,1,0,0,100.0,0
6,5.47,11.9,37.0,1,0,0,1,96.5,0
23,6.43,13.8,1.5,2,0,0,1,57.5,1
22,4.84,64.2,59.4,5,0,2,0,57.0,1
4,6.26,120.8,11.1,0,1,0,0,58.4,1
3,3.32,106.3,88.8,3,1,0,0,59.4,1
12,0.55,8.7,23.3,4,0,1,0,100.0,0
1,1.19,24.0,9.4,1,0,0,0,57.8,1
7,0.6,199.5,46.1,1,1,0,0,80.1,0
10,2.83,83.7,7.3,3,0,2,0,71.2,0
23,4.12,123.4,10.6,1,0,0,0,52.3,1
23,3.04,48.4,0.0,4,0,2,0,47.4,1
3,4.62,150.5,2.5,1,0,0,1,62.9,1
21,4.0,10.4,24.0,3,0,0,1,85.6,0
2,5.52,28.3,1.4,3,1,1,1,69.5,0
17,5.44,111.7,26.7,1,1,0,0,100.0,0
20,2.75,24.5,17.9,1,0,1,0,66.3,1
21,2.97,39.8,1.0,2,0,0,0,90.5,0
5,4.81,25.2,54.2,0,0,0,0,100.0,0
21,4.89,18.6,0.8,5,0,0,0,95.4,0
2,2.72,113.8,9.2,2,1,0,0,75.7,0
12,2.84,34.5,30.3,2,0,0,1,91.4,0
11,5.64,53.0,2.5,2,1,3,0,85.6,0
7,5.29,67.8,14.6,4,0,0,0,100.0,0
0,1.34,20.7,23.0,1,0,1,1,62.4,1
18,3.7,21.6,2.9,2,0,4,0,80.7,0
8,7.17,106.8,8.6,1,0,0,0,100.0,0
15,0.58,66.3,1.3,1,1,2,1,94.6,0
9,6.88,50.2,2.0,2,0,0,1,88.3,0
8,1.56,2.6,0.3,1,1,1,0,100.0,0
21,4.21,57.1,20.8,2,0,0,0,77.0,0
2,3.57,19.6,9.6,2,1,1,0,80.6,0
17,0.38,125.4,0.0,4,0,0,0,100.0,0
17,7.35,13.9,26.2,5,1,1,0,100.0,0
9,3.8,108.9,12.3,1,1,1,0,97.8,0
6,7.65,92.0,19.3,3,0,1,0,84.1,0
0,2.51,111.4,2.9,2,0,1,1,55.3,1
22,6.97,163.9,1.8,3,1,1,1,62.7,1
22,7.4,43.7,14.1,3,0,0,0,88.5,0
5,4.59,105.2,12.9,4,0,1,1,89.6,0
0,1.86,127.4,38.0,2,0,0,0,46.6,1
2,5.58,100.3,21.8,2,0,0,0,65.9,1
1,4.53,23.1,6.7,2,1,1,1,59.1,1
19,7.57,29.4,20.8,3,1,1,0,95.5,0
21,3.68,159.0,1.0,1,1,0,1,77.3,0
3,2.37,58.5,27.7,3,0,1,1,53.8,1
17,1.36,125.5,23.2,4,1,0,0,100.0,0
4,5.68,13.0,5.7,3,1,0,1,81.1,0
8,7.8,39.6,10.7,2,1,1,0,92.7,0
14,0.52,59.1,3.7,1,0,0,0,100.0,0
17,6.0,103.8,52.4,4,1,0,1,100.0,0
20,7.44,42.0,4.4,0,0,0,1,86.7,0
1,0.88,50.1,11.8,3,1,0,1,75.7,0
4,1.15,54.8,19.9,3,0,0,0,79.6,0
6,5.63,36.7,0.2,2,0,0,0,99.4,0
7,5.29,53.3,14.6,2,1,0,0,100.0,0
23,0.83,25.2,21.8,3,0,0,0,85.0,0
18,6.73,60.7,92.4,3,0,0,0,100.0,0
7,4.33,73.6,1.9,2,1,1,0,86.1,0
23,7.29,72.0,4.9,3,0,0,0,70.4,0
11,7.06,4.5,5.9,0,0,2,0,64.2,1
12,6.56,1.4,44.6,2,0,0,0,73.8,0
10,4.27,82.9,16.7,5,0,2,0,90.0,0
3,2.24,39.3,3.7,1,0,0,1,70.2,0
22,4.2,21.6,23.7,3,1,0,0,79.0,0
0,1.08,226.6,0.9,2,0,0,0,65.3,1
4,5.37,10.7,5.9,5,1,0,0,88.0,0
5,1.33,37.2,18.5,3,0,0,0,100.0,0
6,4.24,17.2,30.8,3,1,2,1,85.2,0
3,0.72,96.8,31.3,0,0,0,0,76.7,0
0,2.61,129.1,26.5,1,0,1,0,39.8,1
16,2.09,25.9,26.1,3,1,2,1,92.8,0
23,5.07,30.4,30.9,2,0,0,0,69.3,0
2,6.36,13.5,2.8,0,0,1,0,42.0,1
7,0.74,46.0,35.4,1,1,0,0,100.0,0
12,6.85,46.2,15.3,2,1,1,0,100.0,0
22,6.93,25.4,17.7,3,1,0,0,68.0,0
16,2.94,99.1,14.6,1,1,1,0,95.7,0
18,5.37,57.5,5.2,2,0,0,0,84.7,0
13,3.4,60.4,13.0,3,1,1,1,100.0,0
10,1.49,20.1,6.4,2,0,3,1,72.3,0
4,4.37,130.3,1.7,2,1,1,0,60.9,1
20,0.96,214.0,12.8,4,1,0,0,97.6,0
19,7.06,45.3,17.6,5,0,0,0,89.1,0
0,7.42,64.0,0.1,3,1,1,0,64.3,1
17,6.63,13.4,16.3,3,0,2,1,81.0,0
2,4.63,95.9,3.9,2,1,1,1,79.8,0
17,4.59,53.2,7.0,1,0,0,1,85.0,0
19,7.88,29.4,17.4,2,0,1,0,95.7,0
3,2.21,55.2,13.8,4,0,0,0,87.1,0
10,0.88,56.1,13.6,0,0,1,0,92.9,0
2,4.63,4.9,50.5,3,1,1,1,57.9,1
13,2.83,158.0,35.7,6,0,0,0,100.0,0
22,2.78,48.8,21.0,2,0,1,1,38.1,1
1,0.35,42.1,34.9,2,0,0,0,81.5,0
9,4.89,15.9,2.3,1,1,1,1,100.0,0
23,2.33,49.4,36.1,5,1,0,1,100.0,0
7,1.75,11.7,11.9,3,1,0,1,100.0,0
3,0.61,32.7,17.8,6,1,1,1,86.2,0
11,3.11,59.2,14.8,1,1,0,0,93.5,0
12,7.07,120.5,22.5,2,1,0,0,93.9,0
15,2.89,1.4,12.4,3,1,1,0,100.0,0
7,5.53,23.1,15.7,0,1,0,0,100.0,0
22,6.13,12.3,13.5,1,1,2,0,46.2,1
12,2.83,181.9,72.7,0,0,3,0,44.8,1
6,6.63,18.2,5.0,3,0,1,0,99.7,0
23,5.63,23.9,10.3,3,1,1,1,72.4,0
22,4.61,48.7,16.9,1,1,2,0,57.0,1
11,0.31,11.4,14.8,1,1,0,1,100.0,0
0,0.57,37.6,4.0,1,0,1,0,47.6,1
14,7.93,260.6,21.3,2,0,1,0,84.1,0
13,6.32,8.7,9.8,3,1,2,1,94.9,0
3,7.52,2.5,0.8,2,1,0,1,59.7,1
15,7.25,5.2,19.0,2,1,1,0,100.0,0
20,0.46,53.2,29.5,0,1,1,0,70.5,0
2,6.4,128.1,2.6,2,1,1,0,77.7,0
17,3.77,36.5,1.3,2,0,1,0,87.9,0
3,6.38,46.9,13.8,3,1,0,0,81.3,0
17,0.35,24.1,0.5,0,1,0,0,100.0,0
10,2.52,35.9,23.8,3,0,0,0,100.0,0
0,6.09,121.5,26.7,4,0,1,0,57.3,1
23,6.41,52.6,17.4,1,1,1,0,68.4,0
3,5.07,178.5,16.8,1,0,1,0,42.9,1
14,2.62,85.7,0.3,0,1,2,0,92.1,0
4,2.69,82.1,47.6,0,1,5,0,50.1,1
22,7.74,78.6,3.6,2,1,1,0,54.8,1
17,3.68,81.5,17.3,2,1,0,0,100.0,0
19,3.74,105.8,87.9,7,1,0,0,100.0,0
10,4.55,19.8,9.9,2,0,0,0,95.0,0
11,3.45,26.7,8.3,2,0,0,0,100.0,0
15,4.56,85.4,26.1,1,1,1,1,94.8,0
18,3.63,148.9,5.7,2,1,1,0,100.0,0
20,6.67,31.9,9.5,1,1,1,1,65.9,1
0,7.3,20.5,6.5,1,1,0,1,64.8,1
15,7.48,7.3,34.5,2,0,0,0,84.3,0
2,4.65,5.0,20.6,3,1,3,1,46.2,1
6,3.7,52.3,11.6,0,0,1,1,78.4,0
19,5.73,16.4,154.3,0,0,0,0,72.4,0
6,6.76,143.1,18.0,6,0,1,0,94.4,0
19,4.63,9.6,3.7,1,1,5,0,54.6,1
11,5.69,36.4,26.1,2,1,1,1,94.8,0
5,6.07,80.4,54.2,1,1,1,1,69.6,0
8,5.51,24.3,22.9,2,0,1,1,77.3,0
12,6.05,30.0,19.8,4,0,1,1,100.0,0
18,1.91,237.9,8.7,1,0,0,0,95.8,0
14,4.14,7.2,6.3,0,1,1,0,89.2,0
22,4.83,52.4,36.1,5,1,0,0,98.8,0
20,0.32,25.4,6.0,0,0,1,0,76.1,0
18,6.89,11.2,0.0,2,1,2,0,99.9,0
14,5.0,165.7,7.3,1,0,0,1,87.4,0
