hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,state,historical_crime_index,safety_score,high_risk
10,1.86,36.9,21.4,1,1,2,1,TAMIL NADU,0.1505,90.1,0
23,6.22,16.3,16.6,5,0,0,0,KARNATAKA,0.2109,76.6,0
21,6.11,58.1,8.2,1,0,0,0,PUNJAB,0.1003,87.2,0
19,6.1,15.9,10.7,4,1,1,1,UTTAR PRADESH,0.3015,80.1,0
9,0.42,2.1,2.7,3,0,0,1,MAHARASHTRA,0.3375,93.2,0
7,6.5,1.0,5.1,4,0,2,0,WEST BENGAL,1.0,65.1,0
20,3.68,65.4,16.7,2,0,2,0,UTTAR PRADESH,0.3015,59.5,0
10,5.64,73.0,25.0,1,1,0,0,RAJASTHAN,0.442,82.8,0
0,2.4,33.5,22.6,2,0,1,0,WEST BENGAL,1.0,45.4,1
17,6.23,39.3,16.2,1,1,1,1,UTTAR PRADESH,0.3015,82.2,0
8,7.86,45.5,24.8,1,0,0,0,TAMIL NADU,0.1505,82.7,0
22,2.25,71.8,10.2,1,1,1,0,MAHARASHTRA,0.3375,58.0,1
20,6.34,80.6,36.7,0,1,0,0,GUJARAT,0.2592,71.3,0
2,4.96,62.5,15.3,2,1,1,0,TAMIL NADU,0.1505,47.4,1
21,2.4,80.3,33.6,4,0,0,0,UTTAR PRADESH,0.3015,91.7,0
22,2.57,15.2,24.8,0,0,0,1,GUJARAT,0.2592,47.7,1
18,5.93,21.5,35.2,1,0,2,0,GUJARAT,0.2592,70.9,0
6,2.49,32.7,1.5,2,1,0,0,MAHARASHTRA,0.3375,89.0,0
16,0.67,9.9,2.3,2,0,2,0,UTTAR PRADESH,0.3015,92.8,0
20,7.03,52.9,34.8,0,1,0,0,TAMIL NADU,0.1505,86.9,0
19,4.83,201.6,19.5,0,0,1,0,RAJASTHAN,0.442,43.6,1
10,6.14,19.4,33.1,2,0,0,0,UTTAR PRADESH,0.3015,87.6,0
16,4.94,64.4,0.9,2,1,0,0,RAJASTHAN,0.442,100.0,0
9,4.28,0.9,13.1,3,0,0,0,GUJARAT,0.2592,100.0,0
6,6.23,26.7,5.7,2,1,1,0,TAMIL NADU,0.1505,96.6,0
16,0.55,8.9,1.7,2,0,0,0,KARNATAKA,0.2109,96.0,0
11,2.7,3.3,18.5,2,1,1,0,GUJARAT,0.2592,100.0,0
5,5.13,289.1,9.0,0,0,0,1,WEST BENGAL,1.0,50.1,1
15,7.57,13.4,41.1,3,1,0,0,MADHYA PRADESH,0.3,100.0,0
7,3.33,230.4,10.0,2,1,1,0,RAJASTHAN,0.442,70.7,0
14,7.81,30.5,23.1,0,0,1,1,RAJASTHAN,0.442,59.5,0
8,6.12,47.0,1.7,2,1,0,0,TAMIL NADU,0.1505,100.0,0
21,4.03,226.2,5.6,4,0,2,1,WEST BENGAL,1.0,27.4,1
20,3.6,69.7,1.6,2,0,1,0,MADHYA PRADESH,0.3,64.2,0
11,1.3,38.3,18.8,0,1,3,0,KARNATAKA,0.2109,51.0,1
17,5.04,20.6,14.2,2,0,1,0,TAMIL NADU,0.1505,97.2,0
4,0.7,25.4,65.2,3,0,1,0,MADHYA PRADESH,0.3,51.3,1
23,3.6,28.3,2.6,1,1,1,0,MADHYA PRADESH,0.3,62.8,0
5,2.13,7.7,11.3,0,1,0,0,UTTAR PRADESH,0.3015,100.0,0
20,7.66,54.5,2.2,4,1,2,0,RAJASTHAN,0.442,74.1,0
20,3.1,11.1,19.0,2,0,2,1,MAHARASHTRA,0.3375,62.4,0
4,4.07,61.7,13.2,3,0,3,0,UTTAR PRADESH,0.3015,32.2,1
0,3.19,27.4,10.8,5,1,1,1,MAHARASHTRA,0.3375,65.9,0
17,1.36,71.5,7.7,2,0,0,0,DELHI,0.2655,96.0,0
20,3.01,72.7,36.8,3,0,0,1,UTTAR PRADESH,0.3015,73.5,0
17,6.3,0.3,3.5,2,1,1,0,RAJASTHAN,0.442,81.7,0
1,5.08,12.4,22.0,1,0,0,1,UTTAR PRADESH,0.3015,64.6,0
15,3.67,67.0,2.5,3,0,0,1,UTTAR PRADESH,0.3015,100.0,0
9,6.62,117.6,3.1,2,0,1,0,TAMIL NADU,0.1505,90.1,0
21,0.33,4.6,4.0,0,0,1,0,MADHYA PRADESH,0.3,77.7,0
19,6.66,142.8,3.1,3,0,2,0,GUJARAT,0.2592,55.2,1
19,0.76,34.4,7.6,1,1,2,0,TAMIL NADU,0.1505,62.7,0
9,7.0,4.1,6.5,5,0,2,0,MAHARASHTRA,0.3375,97.1,0
7,7.6,133.5,9.9,1,0,0,1,GUJARAT,0.2592,95.9,0
19,6.61,214.5,11.6,2,0,2,0,UTTAR PRADESH,0.3015,52.4,1
2,0.45,6.9,10.1,4,1,3,1,RAJASTHAN,0.442,49.8,1
2,4.35,92.0,75.7,4,0,1,0,RAJASTHAN,0.442,64.4,0
1,6.68,16.1,6.7,2,0,0,0,KARNATAKA,0.2109,36.7,1
12,4.5,45.2,4.6,3,0,0,0,WEST BENGAL,1.0,85.9,0
1,3.07,66.8,9.4,2,0,0,0,UTTAR PRADESH,0.3015,48.9,1
13,3.92,5.9,33.3,2,1,0,0,WEST BENGAL,1.0,88.2,0
4,0.92,89.1,14.8,5,0,1,0,UTTAR PRADESH,0.3015,64.7,0
21,4.12,113.0,5.0,2,1,1,1,TAMIL NADU,0.1505,77.9,0
10,0.51,30.3,29.0,2,0,2,1,MAHARASHTRA,0.3375,66.9,0
2,5.26,30.9,12.8,2,1,0,0,MAHARASHTRA,0.3375,65.4,0
16,3.31,38.6,4.7,4,1,0,0,UTTAR PRADESH,0.3015,100.0,0
8,1.77,22.1,11.7,1,0,0,0,TAMIL NADU,0.1505,100.0,0
6,0.43,5.6,16.5,1,0,0,1,MAHARASHTRA,0.3375,85.1,0
15,7.4,12.9,0.9,4,0,1,1,RAJASTHAN,0.442,92.2,0
22,4.58,14.2,28.4,3,0,1,0,RAJASTHAN,0.442,43.2,1
23,5.28,7.3,25.5,1,1,0,0,PUNJAB,0.1003,49.2,1
10,6.3,63.9,1.5,2,1,1,0,HARYANA,0.2359,92.6,0
20,5.12,60.0,1.8,2,1,0,0,TAMIL NADU,0.1505,88.7,0
5,3.48,6.6,65.8,1,1,1,0,UTTAR PRADESH,0.3015,99.7,0
20,5.13,2.7,26.8,3,1,0,0,PUNJAB,0.1003,82.7,0
22,2.24,0.4,19.1,0,1,2,0,GUJARAT,0.2592,54.2,1
12,4.62,4.3,11.1,1,0,1,0,KARNATAKA,0.2109,71.5,0
12,1.88,68.5,67.3,3,1,1,0,MAHARASHTRA,0.3375,100.0,0
13,7.36,19.0,19.6,3,0,1,0,UTTAR PRADESH,0.3015,74.6,0
1,4.22,108.4,9.2,1,1,0,1,RAJASTHAN,0.442,60.8,0
20,2.1,15.0,6.4,2,0,0,0,HARYANA,0.2359,75.5,0
17,5.23,24.7,19.5,3,1,1,1,WEST BENGAL,1.0,78.2,0
20,1.0,58.7,12.0,3,0,0,1,UTTAR PRADESH,0.3015,93.5,0
2,3.64,158.0,8.9,1,1,1,0,UTTAR PRADESH,0.3015,40.9,1
19,6.97,31.8,9.3,1,1,0,1,MADHYA PRADESH,0.3,76.9,0
8,6.21,62.6,0.6,3,1,0,1,UTTAR PRADESH,0.3015,100.0,0
19,5.72,141.6,55.7,2,0,1,0,DELHI,0.2655,54.7,1
23,3.92,74.7,21.2,0,0,1,0,KARNATAKA,0.2109,39.2,1
21,3.74,24.9,5.5,2,0,2,0,KARNATAKA,0.2109,67.6,0
21,0.39,2.7,29.0,2,0,0,0,MAHARASHTRA,0.3375,85.2,0
2,4.92,52.7,15.3,1,0,0,0,MADHYA PRADESH,0.3,46.4,1
7,4.74,36.7,57.4,6,1,1,0,MADHYA PRADESH,0.3,100.0,0
7,0.34,104.6,28.2,3,0,3,1,TAMIL NADU,0.1505,76.5,0
12,1.36,29.8,45.7,1,1,3,1,RAJASTHAN,0.442,66.8,0
23,0.4,15.1,38.6,1,1,2,1,MAHARASHTRA,0.3375,57.5,1
16,2.25,180.9,6.3,3,0,0,0,RAJASTHAN,0.442,89.9,0
13,0.33,63.8,25.9,0,0,1,0,WEST BENGAL,1.0,74.4,0
19,3.51,64.3,4.2,4,1,0,0,UTTAR PRADESH,0.3015,93.0,0
4,3.97,34.8,8.9,1,0,0,0,UTTAR PRADESH,0.3015,63.2,0
15,3.67,64.1,2.9,2,1,0,0,RAJASTHAN,0.442,100.0,0
12,1.84,82.0,10.1,2,1,0,0,MADHYA PRADESH,0.3,93.4,0
4,4.33,37.1,28.9,1,0,2,0,UTTAR PRADESH,0.3015,37.7,1
15,6.57,27.0,2.7,1,0,3,0,KERALA,0.4749,69.1,0
20,2.54,35.4,23.6,2,1,0,0,MADHYA PRADESH,0.3,86.7,0
19,2.71,37.2,100.0,1,0,0,0,MAHARASHTRA,0.3375,75.1,0
20,4.48,10.1,13.4,2,1,1,1,MADHYA PRADESH,0.3,74.4,0
19,2.1,89.9,3.3,4,0,0,0,RAJASTHAN,0.442,84.2,0
11,2.9,2.6,9.4,1,0,1,0,KERALA,0.4749,75.0,0
1,3.78,100.7,1.8,0,0,1,1,WEST BENGAL,1.0,16.0,1
23,3.27,92.3,105.9,3,0,1,0,GUJARAT,0.2592,55.0,1
10,6.6,91.7,18.9,0,0,0,0,RAJASTHAN,0.442,76.8,0
15,6.84,61.7,22.6,3,1,0,0,WEST BENGAL,1.0,72.8,0
0,3.4,98.8,3.5,2,0,1,0,WEST BENGAL,1.0,40.0,1
21,3.75,87.6,6.3,1,1,2,0,KERALA,0.4749,67.1,0
21,7.67,9.9,12.2,1,0,0,0,MADHYA PRADESH,0.3,80.8,0
22,4.17,35.8,15.0,2,0,0,1,WEST BENGAL,1.0,37.6,1
4,7.95,113.0,8.9,3,0,1,0,UTTAR PRADESH,0.3015,51.6,1
20,6.17,69.7,32.6,2,0,1,0,MAHARASHTRA,0.3375,74.6,0
14,2.33,4.2,14.9,1,1,1,1,WEST BENGAL,1.0,72.3,0
3,2.06,97.0,31.2,2,0,0,0,MAHARASHTRA,0.3375,59.9,0
13,1.52,31.6,6.6,4,0,1,0,RAJASTHAN,0.442,95.1,0
11,6.51,19.1,9.8,2,0,0,0,GUJARAT,0.2592,90.3,0
15,2.66,168.4,13.0,2,0,0,0,HARYANA,0.2359,85.1,0
2,5.5,35.5,30.7,1,1,1,0,RAJASTHAN,0.442,43.5,1
13,4.46,0.2,3.5,0,1,4,1,MADHYA PRADESH,0.3,71.9,0
16,6.66,74.4,22.3,0,1,1,1,RAJASTHAN,0.442,68.4,0
17,6.08,22.8,0.3,5,0,2,1,TAMIL NADU,0.1505,73.8,0
18,0.79,69.1,2.3,4,1,1,1,UTTAR PRADESH,0.3015,100.0,0
15,2.91,31.0,36.2,6,0,1,1,TAMIL NADU,0.1505,96.1,0
16,4.3,0.2,7.8,3,1,1,0,KARNATAKA,0.2109,100.0,0
2,6.49,3.5,21.5,2,0,0,0,KARNATAKA,0.2109,65.6,0
19,5.8,101.1,54.7,3,0,0,1,RAJASTHAN,0.442,61.3,0
8,4.53,20.5,6.9,0,1,0,0,HARYANA,0.2359,100.0,0
13,6.52,86.8,84.9,6,0,0,0,UTTAR PRADESH,0.3015,83.4,0
13,3.65,3.8,82.2,2,1,0,1,RAJASTHAN,0.442,100.0,0
23,0.73,18.5,30.3,4,1,1,0,MADHYA PRADESH,0.3,79.5,0
7,7.0,42.4,43.9,1,1,1,0,MAHARASHTRA,0.3375,97.5,0
9,4.35,34.0,4.6,2,0,0,0,GUJARAT,0.2592,92.4,0
18,6.52,26.3,10.0,5,0,0,0,GUJARAT,0.2592,96.5,0
15,3.32,24.4,11.0,2,1,2,0,UTTAR PRADESH,0.3015,67.1,0
7,4.83,47.4,6.1,9,0,1,0,KERALA,0.4749,89.0,0
8,2.85,3.0,4.0,2,1,0,1,UTTAR PRADESH,0.3015,100.0,0
19,3.45,3.3,20.9,3,0,1,0,WEST BENGAL,1.0,61.3,0
20,1.43,53.5,39.8,4,1,0,1,UTTAR PRADESH,0.3015,94.8,0
3,6.01,55.1,61.8,4,0,0,1,KERALA,0.4749,47.8,1
9,2.46,108.7,49.4,0,0,0,0,UTTAR PRADESH,0.3015,77.6,0
18,2.62,71.7,2.2,0,1,0,0,RAJASTHAN,0.442,92.5,0
2,3.03,5.0,40.9,4,1,3,1,MAHARASHTRA,0.3375,36.1,1
4,3.63,2.2,3.0,6,0,0,0,PUNJAB,0.1003,63.1,0
3,4.74,120.9,20.0,3,0,1,0,HARYANA,0.2359,50.5,1
12,5.56,22.6,26.2,1,1,2,1,KARNATAKA,0.2109,75.7,0
10,5.5,76.5,0.5,1,1,0,0,HARYANA,0.2359,89.7,0
7,3.56,2.8,17.0,3,0,1,0,HARYANA,0.2359,79.6,0
3,4.01,65.6,29.5,2,1,0,0,WEST BENGAL,1.0,46.1,1
15,1.38,8.7,6.5,0,0,0,0,UTTAR PRADESH,0.3015,88.0,0
19,4.32,211.6,11.1,1,1,0,0,KARNATAKA,0.2109,81.1,0
5,7.05,53.0,163.5,1,1,0,1,TAMIL NADU,0.1505,85.3,0
15,3.85,72.1,3.2,7,1,1,0,MAHARASHTRA,0.3375,100.0,0
19,7.52,72.8,3.0,1,0,1,0,RAJASTHAN,0.442,60.0,0
13,1.5,30.0,2.5,0,0,0,0,KARNATAKA,0.2109,97.3,0
13,5.97,77.0,2.8,3,1,1,0,UTTAR PRADESH,0.3015,100.0,0
4,5.75,0.3,3.9,3,1,1,0,KERALA,0.4749,71.4,0
22,5.55,10.9,9.3,4,1,1,1,UTTAR PRADESH,0.3015,58.2,1
22,5.4,56.9,9.9,1,0,0,0,RAJASTHAN,0.442,40.4,1
17,0.47,33.2,50.5,2,0,1,0,GUJARAT,0.2592,100.0,0
21,6.01,193.4,17.2,2,0,1,0,UTTAR PRADESH,0.3015,62.4,0
14,4.15,209.5,9.1,3,0,4,1,UTTAR PRADESH,0.3015,55.7,1
15,4.34,4.7,29.6,2,0,0,0,MADHYA PRADESH,0.3,82.6,0
19,0.69,67.8,34.7,1,1,2,0,DELHI,0.2655,72.4,0
0,1.75,24.4,0.4,2,0,1,0,UTTAR PRADESH,0.3015,63.5,0
5,7.31,72.8,4.4,5,0,1,0,UTTAR PRADESH,0.3015,100.0,0
4,2.73,169.5,8.7,1,1,0,0,GUJARAT,0.2592,46.8,1
15,3.33,64.1,15.2,2,0,4,1,PUNJAB,0.1003,47.7,1
5,1.76,4.2,29.4,3,0,1,0,WEST BENGAL,1.0,74.0,0
9,5.17,12.3,8.4,3,1,1,1,RAJASTHAN,0.442,81.9,0
11,6.0,30.7,19.6,2,0,1,0,RAJASTHAN,0.442,74.7,0
17,7.39,7.3,0.8,0,0,0,0,UTTAR PRADESH,0.3015,92.5,0
12,4.63,3.0,61.6,4,0,4,0,RAJASTHAN,0.442,68.8,0
0,2.42,13.3,40.7,3,1,1,0,TAMIL NADU,0.1505,74.4,0
16,0.85,106.7,1.5,3,1,0,0,RAJASTHAN,0.442,100.0,0
10,2.35,116.7,8.3,5,1,2,0,WEST BENGAL,1.0,74.0,0
2,5.06,68.0,60.6,3,1,0,0,TAMIL NADU,0.1505,69.9,0
15,7.8,3.9,2.8,3,0,1,1,MADHYA PRADESH,0.3,82.2,0
6,0.91,113.5,23.1,2,1,0,0,UTTAR PRADESH,0.3015,100.0,0
11,3.29,33.0,4.9,0,0,0,0,GUJARAT,0.2592,84.9,0
23,5.44,46.0,3.0,0,0,1,0,KARNATAKA,0.2109,33.3,1
5,4.72,153.9,20.5,2,0,2,1,KARNATAKA,0.2109,71.4,0
21,5.32,25.6,14.6,3,0,2,1,RAJASTHAN,0.442,74.1,0
11,3.87,16.2,3.4,0,1,1,0,RAJASTHAN,0.442,97.5,0
22,2.36,28.8,13.8,3,1,1,0,KERALA,0.4749,73.9,0
20,4.02,37.6,58.6,4,0,0,0,MAHARASHTRA,0.3375,77.5,0
19,3.24,59.8,11.7,5,1,1,0,UTTAR PRADESH,0.3015,97.3,0
4,5.76,63.7,17.1,3,0,0,1,WEST BENGAL,1.0,39.8,1
18,1.62,37.7,13.0,2,0,0,0,TAMIL NADU,0.1505,100.0,0
8,4.12,32.5,1.0,2,0,1,1,KERALA,0.4749,66.6,0
21,7.68,15.7,34.1,2,0,1,0,UTTAR PRADESH,0.3015,57.0,1
23,4.39,78.5,37.5,3,0,1,1,KERALA,0.4749,39.9,1
14,2.13,33.4,13.4,1,0,0,1,RAJASTHAN,0.442,84.0,0
21,7.51,208.9,6.1,0,1,1,1,MADHYA PRADESH,0.3,53.3,1
12,2.18,37.2,40.4,2,0,0,0,TAMIL NADU,0.1505,100.0,0
0,6.08,19.1,15.0,4,0,0,0,RAJASTHAN,0.442,61.8,0
20,1.14,17.8,54.4,4,1,1,0,RAJASTHAN,0.442,93.8,0
12,6.86,38.8,19.0,2,0,1,0,MAHARASHTRA,0.3375,60.0,0
1,1.69,76.4,8.1,4,1,1,0,PUNJAB,0.1003,84.1,0
1,3.34,213.6,27.9,3,1,0,0,MADHYA PRADESH,0.3,64.0,0
17,7.74,66.9,9.0,3,0,2,1,KERALA,0.4749,61.5,0
22,4.76,104.3,29.9,1,1,0,0,GUJARAT,0.2592,60.9,0
16,2.33,31.2,8.8,3,1,1,0,WEST BENGAL,1.0,84.5,0
10,0.3,108.8,90.2,3,1,0,1,GUJARAT,0.2592,100.0,0
7,0.35,216.0,1.7,3,1,4,1,RAJASTHAN,0.442,76.9,0
10,2.41,103.5,39.6,1,1,1,0,RAJASTHAN,0.442,86.1,0
7,4.36,21.8,19.0,2,0,0,0,GUJARAT,0.2592,81.9,0
6,4.03,42.4,9.0,1,0,0,0,GUJARAT,0.2592,82.5,0
3,7.4,95.8,48.8,2,1,0,0,UTTAR PRADESH,0.3015,58.3,1
13,6.18,129.2,25.5,2,0,0,1,WEST BENGAL,1.0,51.7,1
5,7.42,40.4,19.0,3,1,0,0,MADHYA PRADESH,0.3,82.7,0
3,4.24,13.9,14.0,2,0,0,0,DELHI,0.2655,55.7,1
6,3.74,2.1,38.8,4,0,0,0,MADHYA PRADESH,0.3,100.0,0
19,4.66,59.5,24.3,3,0,1,0,MAHARASHTRA,0.3375,71.6,0
13,3.17,40.4,10.5,0,1,1,0,MAHARASHTRA,0.3375,86.2,0
11,1.92,0.3,22.4,4,1,1,0,MAHARASHTRA,0.3375,100.0,0
14,6.74,10.9,9.7,4,1,1,1,TAMIL NADU,0.1505,100.0,0
13,5.54,73.2,7.8,1,0,0,0,DELHI,0.2655,96.2,0
11,2.81,41.2,0.6,3,1,2,0,WEST BENGAL,1.0,82.3,0
20,3.74,87.3,6.8,1,0,0,1,UTTAR PRADESH,0.3015,70.3,0
17,2.04,2.1,6.7,0,0,0,0,UTTAR PRADESH,0.3015,87.1,0
4,4.63,69.9,23.1,3,0,0,0,KARNATAKA,0.2109,71.0,0
19,3.06,74.7,14.8,2,1,2,0,GUJARAT,0.2592,90.4,0
4,7.04,49.9,4.8,3,1,1,0,RAJASTHAN,0.442,58.1,1
1,4.37,150.4,34.6,2,0,1,1,RAJASTHAN,0.442,37.1,1
10,3.47,24.1,12.6,3,0,1,1,MADHYA PRADESH,0.3,64.1,0
9,6.07,194.8,10.9,3,0,0,0,UTTAR PRADESH,0.3015,89.0,0
18,7.27,70.1,6.4,2,1,2,0,GUJARAT,0.2592,78.7,0
16,6.59,16.7,4.4,2,1,1,0,UTTAR PRADESH,0.3015,96.9,0
1,4.11,55.1,59.7,1,1,0,0,RAJASTHAN,0.442,64.2,0
11,3.04,17.9,10.9,7,0,0,1,KERALA,0.4749,89.4,0
19,5.4,22.1,1.0,5,1,1,0,UTTAR PRADESH,0.3015,100.0,0
17,6.59,15.2,13.2,1,0,1,0,UTTAR PRADESH,0.3015,80.0,0
12,7.84,45.4,50.2,1,0,0,1,UTTAR PRADESH,0.3015,61.8,0
14,3.82,6.2,4.5,3,0,1,0,RAJASTHAN,0.442,80.7,0
13,5.45,34.6,23.5,1,1,0,0,RAJASTHAN,0.442,87.0,0
5,2.56,90.3,4.4,4,0,0,0,RAJASTHAN,0.442,100.0,0
13,0.97,165.3,14.8,0,1,2,0,UTTAR PRADESH,0.3015,83.1,0
16,2.25,96.5,14.9,1,0,0,0,RAJASTHAN,0.442,85.6,0
1,0.41,20.9,33.6,0,1,3,0,MADHYA PRADESH,0.3,45.9,1
16,4.22,5.6,3.7,1,1,0,0,TAMIL NADU,0.1505,95.9,0
5,3.17,111.9,1.7,6,1,2,1,MAHARASHTRA,0.3375,96.8,0
0,5.52,29.8,51.9,1,1,1,0,UTTAR PRADESH,0.3015,57.1,1
18,5.04,9.8,32.2,2,0,1,0,WEST BENGAL,1.0,48.6,1
9,1.59,7.2,5.8,3,1,1,0,DELHI,0.2655,98.7,0
9,5.49,10.4,16.3,6,0,0,0,DELHI,0.2655,100.0,0
14,1.74,173.9,0.8,3,0,2,0,RAJASTHAN,0.442,72.4,0
13,0.35,97.3,15.4,4,0,2,0,UTTAR PRADESH,0.3015,87.8,0
14,7.77,33.4,2.3,2,1,0,1,UTTAR PRADESH,0.3015,100.0,0
22,0.51,121.5,31.3,1,0,2,0,UTTAR PRADESH,0.3015,42.9,1
15,2.93,13.2,3.9,0,0,1,0,MADHYA PRADESH,0.3,71.8,0
1,5.21,148.4,3.8,0,1,1,0,MAHARASHTRA,0.3375,44.8,1
5,3.15,18.6,8.1,3,1,0,1,RAJASTHAN,0.442,100.0,0
10,3.24,30.0,4.5,3,0,0,0,MAHARASHTRA,0.3375,100.0,0
11,5.87,72.0,7.8,3,0,0,0,WEST BENGAL,1.0,66.4,0
8,4.94,10.3,15.7,1,0,1,0,RAJASTHAN,0.442,90.3,0
4,4.29,7.0,2.1,2,1,0,0,GUJARAT,0.2592,77.3,0
2,7.12,27.4,17.9,4,1,1,0,RAJASTHAN,0.442,79.0,0
3,1.13,6.9,0.2,2,1,2,1,KERALA,0.4749,46.5,1
22,3.92,52.3,10.1,2,1,0,1,RAJASTHAN,0.442,69.4,0
9,2.14,4.9,34.5,2,0,0,0,DELHI,0.2655,91.9,0
23,0.58,31.0,40.7,3,0,2,0,HARYANA,0.2359,51.8,1
8,7.84,15.3,0.4,1,0,0,0,PUNJAB,0.1003,90.7,0
7,5.95,150.8,69.0,3,0,3,0,GUJARAT,0.2592,60.0,0
11,1.96,89.5,24.0,4,0,0,0,GUJARAT,0.2592,100.0,0
22,3.4,168.5,22.8,3,1,1,0,TAMIL NADU,0.1505,55.6,1
13,2.04,8.1,11.3,1,1,0,0,GUJARAT,0.2592,100.0,0
0,5.57,24.0,0.4,1,0,1,1,RAJASTHAN,0.442,13.1,1
6,3.0,84.3,8.8,5,0,1,1,WEST BENGAL,1.0,93.6,0
23,7.38,26.3,9.0,3,0,0,1,WEST BENGAL,1.0,33.7,1
3,1.9,149.7,8.8,3,1,1,0,DELHI,0.2655,51.8,1
20,2.99,85.1,14.0,3,0,2,0,WEST BENGAL,1.0,55.3,1
22,7.47,117.5,1.3,6,1,1,0,MAHARASHTRA,0.3375,61.8,0
5,7.11,245.0,0.1,2,1,0,0,TAMIL NADU,0.1505,85.6,0
13,2.56,60.8,9.5,3,0,0,0,UTTAR PRADESH,0.3015,86.9,0
14,4.02,15.3,12.1,7,1,2,1,RAJASTHAN,0.442,100.0,0
19,7.1,59.5,5.5,2,0,3,0,WEST BENGAL,1.0,31.5,1
19,5.46,23.5,39.8,2,0,1,0,MAHARASHTRA,0.3375,50.1,1
1,5.21,158.1,14.4,1,1,0,1,UTTAR PRADESH,0.3015,46.5,1
7,5.39,18.2,6.0,3,1,0,0,MAHARASHTRA,0.3375,100.0,0
22,7.39,20.7,9.8,3,1,0,0,MAHARASHTRA,0.3375,68.0,0
8,4.28,132.0,13.8,2,1,0,0,UTTAR PRADESH,0.3015,97.1,0
5,1.7,34.6,23.5,1,0,1,1,MAHARASHTRA,0.3375,75.2,0
15,3.94,2.2,11.4,2,0,1,1,TAMIL NADU,0.1505,90.4,0
4,5.91,3.0,9.7,2,1,1,0,UTTAR PRADESH,0.3015,69.8,0
3,4.09,32.0,78.7,3,1,0,0,KERALA,0.4749,69.1,0
19,2.71,19.1,28.7,0,1,0,0,HARYANA,0.2359,84.5,0
2,5.43,52.7,29.7,2,0,0,1,WEST BENGAL,1.0,42.2,1
21,3.77,144.8,1.2,2,0,1,0,UTTAR PRADESH,0.3015,70.8,0
5,7.71,62.9,11.1,4,1,0,0,WEST BENGAL,1.0,82.6,0
2,3.01,30.4,25.6,4,0,0,1,DELHI,0.2655,63.1,0
17,5.82,5.0,1.7,1,1,0,0,TAMIL NADU,0.1505,100.0,0
4,4.57,93.5,0.5,3,1,2,1,GUJARAT,0.2592,48.2,1
8,0.9,7.8,2.9,1,0,1,0,WEST BENGAL,1.0,78.1,0
8,3.92,10.1,2.2,3,1,0,0,TAMIL NADU,0.1505,100.0,0
12,0.52,24.8,64.4,1,1,1,0,UTTAR PRADESH,0.3015,89.1,0
11,6.38,193.0,15.4,3,0,1,0,KARNATAKA,0.2109,86.9,0
4,5.96,27.0,31.8,2,0,0,0,UTTAR PRADESH,0.3015,47.3,1
