hour,distance_km,route_deviation_m,unexpected_stop_s,nearby_safe_zone_count,nearby_police_or_hospital,community_reports_nearby,is_weekend,state,historical_crime_index,safety_score,high_risk
21,4.98,63.4,21.0,2,0,1,0,UTTAR PRADESH,0.7531,55.4,1
17,2.67,3.7,59.8,3,0,0,1,GUJARAT,0.3111,89.2,0
3,0.8,105.0,0.6,4,0,1,1,GUJARAT,0.3111,57.2,0
15,2.34,9.4,13.0,1,0,2,0,MAHARASHTRA,0.5215,76.3,0
21,3.45,43.5,3.0,3,1,0,0,UTTAR PRADESH,0.7531,65.8,0
3,7.94,85.4,31.2,2,0,1,0,TAMIL NADU,0.2086,55.3,1
20,3.33,108.1,4.2,4,1,1,0,RAJASTHAN,0.6835,75.5,0
2,0.99,98.5,24.6,4,0,1,0,UTTAR PRADESH,0.7531,56.3,0
20,4.77,39.5,24.5,3,0,0,0,RAJASTHAN,0.6835,72.6,0
18,7.38,136.7,31.9,0,0,0,1,GUJARAT,0.3111,70.3,0
3,6.36,105.2,14.8,1,0,2,1,TAMIL NADU,0.2086,33.2,1
17,6.74,172.7,0.6,1,1,1,1,KARNATAKA,0.2845,91.7,0
2,7.45,61.3,0.4,1,1,0,1,GUJARAT,0.3111,62.8,0
13,5.2,74.5,42.8,1,0,2,1,WEST BENGAL,1.0,38.1,1
22,7.96,26.2,45.9,1,0,0,1,MADHYA PRADESH,0.5466,55.6,1
4,0.56,20.4,38.8,1,1,1,1,RAJASTHAN,0.6835,33.6,1
4,6.73,1.7,17.7,0,0,0,1,RAJASTHAN,0.6835,37.6,1
10,6.9,35.8,34.0,2,0,1,0,TAMIL NADU,0.2086,75.7,0
8,7.36,45.5,4.0,2,1,0,0,WEST BENGAL,1.0,95.3,0
1,3.98,12.6,5.3,2,1,1,0,MADHYA PRADESH,0.5466,58.6,0
10,6.37,5.8,8.3,2,0,2,0,KARNATAKA,0.2845,81.2,0
6,1.8,40.5,26.6,3,0,1,0,TAMIL NADU,0.2086,89.8,0
2,4.94,56.8,14.4,2,0,0,0,MADHYA PRADESH,0.5466,62.4,0
6,3.06,305.3,30.1,4,0,0,0,MADHYA PRADESH,0.5466,91.2,0
0,4.89,89.6,9.5,6,1,1,0,UTTAR PRADESH,0.7531,41.6,1
21,5.5,2.8,29.7,3,1,0,0,RAJASTHAN,0.6835,77.9,0
23,2.97,39.6,24.1,2,0,3,1,MAHARASHTRA,0.5215,21.9,1
8,1.97,3.1,44.6,3,1,2,0,UTTAR PRADESH,0.7531,78.0,0
21,2.78,19.0,9.4,3,1,0,0,MAHARASHTRA,0.5215,78.5,0
11,5.41,24.4,22.6,4,0,0,1,DELHI,0.1935,100.0,0
21,5.51,65.5,46.2,4,0,2,0,UTTAR PRADESH,0.7531,45.9,1
4,6.01,104.5,37.0,3,1,0,1,RAJASTHAN,0.6835,76.7,0
6,1.27,36.5,1.7,1,0,2,0,UTTAR PRADESH,0.7531,67.4,0
17,6.6,31.8,35.4,1,0,0,0,UTTAR PRADESH,0.7531,78.1,0
5,5.6,50.5,44.4,2,0,1,0,TAMIL NADU,0.2086,86.7,0
19,0.53,16.7,8.1,4,0,0,1,MADHYA PRADESH,0.5466,78.3,0
10,2.88,23.9,15.2,3,1,1,0,GUJARAT,0.3111,100.0,0
9,3.89,57.8,9.2,2,0,1,1,TAMIL NADU,0.2086,85.1,0
10,3.08,18.7,26.4,4,0,1,0,MAHARASHTRA,0.5215,95.9,0
19,1.2,3.7,52.8,2,0,0,0,GUJARAT,0.3111,84.7,0
0,1.9,25.5,10.7,2,0,0,1,UTTAR PRADESH,0.7531,68.3,0
18,0.49,21.6,15.4,5,0,4,0,RAJASTHAN,0.6835,75.1,0
18,1.02,16.1,3.1,3,1,0,0,RAJASTHAN,0.6835,100.0,0
19,2.35,2.2,12.7,3,1,0,0,KARNATAKA,0.2845,83.9,0
23,6.61,210.5,7.2,1,0,1,0,WEST BENGAL,1.0,15.4,1
18,4.36,14.8,12.0,4,1,0,0,UTTAR PRADESH,0.7531,94.4,0
12,3.57,61.8,26.4,3,0,0,0,WEST BENGAL,1.0,92.9,0
11,5.4,24.1,32.0,6,1,1,0,UTTAR PRADESH,0.7531,86.8,0
9,4.47,150.0,2.2,1,1,0,0,TAMIL NADU,0.2086,100.0,0
19,1.31,6.5,39.9,3,0,1,0,MAHARASHTRA,0.5215,69.9,0
9,2.01,134.8,2.3,1,1,0,0,MAHARASHTRA,0.5215,96.2,0
13,2.01,3.6,19.4,3,0,1,1,UTTAR PRADESH,0.7531,91.7,0
2,4.92,120.4,33.4,1,1,0,0,TAMIL NADU,0.2086,71.2,0
7,3.85,87.0,16.9,1,0,2,0,MAHARASHTRA,0.5215,59.1,0
6,3.28,43.6,37.9,3,1,0,0,RAJASTHAN,0.6835,92.5,0
10,4.59,70.0,6.8,4,1,0,1,RAJASTHAN,0.6835,100.0,0
12,7.77,7.5,37.2,2,1,1,1,PUNJAB,0.103,82.1,0
17,2.72,54.3,12.2,1,1,0,0,HARYANA,0.1936,100.0,0
10,4.31,115.7,18.8,0,0,0,1,TAMIL NADU,0.2086,92.6,0
3,4.0,252.9,37.0,1,1,0,0,UTTAR PRADESH,0.7531,50.4,1
13,5.82,4.6,7.3,3,1,1,0,PUNJAB,0.103,100.0,0
1,5.92,67.4,26.0,2,0,0,0,GUJARAT,0.3111,61.7,0
20,5.91,18.4,5.9,1,0,0,1,KARNATAKA,0.2845,76.7,0
18,1.85,22.1,16.7,3,0,1,0,MAHARASHTRA,0.5215,82.4,0
5,3.76,28.2,9.8,1,0,0,1,UTTAR PRADESH,0.7531,70.7,0
6,6.55,47.6,7.4,3,0,0,0,RAJASTHAN,0.6835,77.0,0
0,3.24,180.0,52.3,2,0,0,0,HARYANA,0.1936,47.2,1
8,7.88,9.6,10.2,1,0,1,0,WEST BENGAL,1.0,80.9,0
0,3.11,69.1,6.9,2,1,2,0,UTTAR PRADESH,0.7531,55.4,1
22,4.13,1.8,2.3,3,0,1,0,UTTAR PRADESH,0.7531,37.3,1
3,3.95,48.9,42.1,4,1,0,0,MADHYA PRADESH,0.5466,74.0,0
15,3.64,8.7,21.5,2,1,0,0,UTTAR PRADESH,0.7531,96.2,0
13,6.81,49.7,21.4,2,0,0,0,DELHI,0.1935,86.3,0
5,1.5,68.5,0.9,1,1,0,0,KARNATAKA,0.2845,91.5,0
19,4.67,35.6,2.4,2,1,1,0,KARNATAKA,0.2845,77.3,0
2,5.06,27.8,38.4,4,0,1,0,MAHARASHTRA,0.5215,58.9,0
21,6.85,41.6,6.0,1,0,0,0,MADHYA PRADESH,0.5466,78.8,0
17,4.99,28.0,3.1,0,0,2,0,MADHYA PRADESH,0.5466,72.2,0
15,7.69,100.5,2.3,6,0,1,1,TAMIL NADU,0.2086,80.2,0
21,7.02,70.6,13.6,3,1,2,1,RAJASTHAN,0.6835,52.3,1
9,2.99,45.2,5.8,6,0,1,0,MAHARASHTRA,0.5215,93.2,0
6,6.92,51.2,20.0,5,1,0,0,RAJASTHAN,0.6835,100.0,0
3,7.68,30.4,32.3,0,1,1,0,WEST BENGAL,1.0,25.1,1
22,2.28,9.2,48.4,3,0,1,1,UTTAR PRADESH,0.7531,40.6,1
9,5.0,14.1,12.0,0,0,2,1,UTTAR PRADESH,0.7531,61.8,0
19,2.47,39.2,6.3,2,1,2,0,RAJASTHAN,0.6835,66.4,0
7,5.3,5.3,15.8,2,1,1,1,MADHYA PRADESH,0.5466,81.5,0
22,1.02,141.8,14.4,1,0,1,1,UTTAR PRADESH,0.7531,37.3,1
20,5.95,84.8,53.7,3,1,0,0,KERALA,0.3503,94.6,0
7,3.53,74.9,31.9,3,1,1,1,MADHYA PRADESH,0.5466,86.4,0
11,4.82,75.3,4.4,3,1,1,0,MAHARASHTRA,0.5215,90.1,0
19,0.5,5.4,37.1,3,1,0,0,MADHYA PRADESH,0.5466,100.0,0
5,5.65,35.6,5.6,2,1,1,1,RAJASTHAN,0.6835,82.9,0
0,4.12,134.7,25.0,1,0,0,0,KERALA,0.3503,57.5,0
6,5.11,57.1,19.1,1,1,0,0,WEST BENGAL,1.0,77.7,0
14,2.73,68.0,20.0,2,0,1,0,GUJARAT,0.3111,99.8,0
3,1.42,464.7,3.5,4,1,2,0,RAJASTHAN,0.6835,49.8,1
8,3.65,4.5,10.9,1,1,0,1,WEST BENGAL,1.0,100.0,0
22,7.57,13.4,15.3,4,1,0,0,WEST BENGAL,1.0,56.5,0
1,2.05,15.9,26.5,0,0,1,0,KERALA,0.3503,57.5,0
1,5.5,43.7,41.6,3,1,1,1,MADHYA PRADESH,0.5466,64.1,0
10,0.68,223.4,1.0,4,1,2,0,WEST BENGAL,1.0,77.0,0
0,5.83,27.4,3.8,2,0,0,0,UTTAR PRADESH,0.7531,50.5,1
0,2.14,179.7,10.1,1,1,0,1,MAHARASHTRA,0.5215,49.2,1
4,3.78,1.2,3.5,4,0,2,0,WEST BENGAL,1.0,30.5,1
2,3.13,74.3,31.8,0,0,0,1,MAHARASHTRA,0.5215,32.0,1
19,1.17,112.3,43.6,1,1,1,1,RAJASTHAN,0.6835,48.9,1
2,2.96,15.8,35.8,3,1,0,0,GUJARAT,0.3111,64.6,0
12,3.0,17.4,3.9,1,1,0,0,HARYANA,0.1936,100.0,0
16,4.32,101.9,16.8,2,0,0,0,RAJASTHAN,0.6835,80.3,0
15,7.79,33.0,19.4,1,0,0,0,MADHYA PRADESH,0.5466,75.5,0
15,3.92,39.6,11.4,2,1,0,0,RAJASTHAN,0.6835,100.0,0
8,7.34,58.0,6.1,1,1,0,0,TAMIL NADU,0.2086,100.0,0
21,3.85,33.0,19.5,0,1,2,0,UTTAR PRADESH,0.7531,70.3,0
1,1.13,61.7,7.1,4,0,0,1,TAMIL NADU,0.2086,76.6,0
2,2.07,13.4,1.8,2,0,0,0,KARNATAKA,0.2845,77.8,0
20,3.44,164.2,14.0,3,1,1,0,KARNATAKA,0.2845,77.4,0
1,2.81,142.5,37.0,1,1,3,0,RAJASTHAN,0.6835,20.4,1
4,6.97,31.8,0.7,1,0,1,0,HARYANA,0.1936,36.5,1
4,5.53,8.3,32.5,2,0,1,0,UTTAR PRADESH,0.7531,47.5,1
0,4.75,29.0,14.1,0,1,3,1,RAJASTHAN,0.6835,28.8,1
2,4.08,19.4,14.6,0,0,1,1,MADHYA PRADESH,0.5466,25.3,1
13,3.36,9.8,36.1,1,0,0,1,MAHARASHTRA,0.5215,86.7,0
15,5.01,49.7,0.3,1,1,0,0,GUJARAT,0.3111,100.0,0
1,1.26,29.8,1.3,2,1,0,1,GUJARAT,0.3111,64.9,0
22,1.55,55.3,5.7,0,1,0,1,UTTAR PRADESH,0.7531,47.2,1
2,2.63,32.0,26.6,4,1,0,0,KERALA,0.3503,69.0,0
16,1.62,227.4,10.9,2,1,0,0,UTTAR PRADESH,0.7531,85.1,0
19,5.51,3.8,38.1,6,0,1,0,WEST BENGAL,1.0,68.6,0
12,0.49,97.1,19.1,3,0,1,1,UTTAR PRADESH,0.7531,65.0,0
11,1.53,31.0,27.2,3,0,0,0,KERALA,0.3503,91.0,0
2,7.25,4.7,99.8,1,0,2,1,UTTAR PRADESH,0.7531,16.1,1
5,7.98,77.3,10.2,3,0,0,1,RAJASTHAN,0.6835,74.0,0
20,4.05,33.5,25.1,4,0,3,0,MAHARASHTRA,0.5215,55.4,1
8,4.11,82.6,22.5,2,0,0,0,PUNJAB,0.103,100.0,0
0,6.26,55.0,31.9,5,0,0,0,HARYANA,0.1936,68.4,0
17,0.58,113.7,52.8,0,1,1,0,KARNATAKA,0.2845,67.8,0
16,3.59,34.6,13.4,0,0,0,1,HARYANA,0.1936,76.6,0
1,1.07,179.0,20.4,3,0,1,0,HARYANA,0.1936,50.9,1
1,3.39,31.5,56.7,1,1,0,1,WEST BENGAL,1.0,53.0,1
2,7.88,1.9,22.1,2,0,3,1,UTTAR PRADESH,0.7531,28.2,1
1,6.1,318.5,5.3,3,1,2,1,KARNATAKA,0.2845,42.4,1
14,7.88,32.3,28.7,2,1,0,0,TAMIL NADU,0.2086,100.0,0
3,6.04,22.8,7.9,1,0,1,0,MAHARASHTRA,0.5215,40.5,1
14,4.98,14.7,14.6,3,1,1,0,RAJASTHAN,0.6835,88.8,0
4,6.11,27.5,7.9,3,0,0,0,KARNATAKA,0.2845,75.5,0
23,5.38,43.2,66.9,2,0,1,1,UTTAR PRADESH,0.7531,39.2,1
17,3.87,26.4,49.2,3,1,0,0,KERALA,0.3503,100.0,0
8,2.55,46.9,2.1,0,0,0,1,UTTAR PRADESH,0.7531,71.4,0
10,4.31,29.5,35.8,2,0,1,1,RAJASTHAN,0.6835,67.4,0
1,2.29,51.6,26.9,2,1,2,0,GUJARAT,0.3111,61.4,0
1,4.05,6.2,3.1,1,1,1,1,UTTAR PRADESH,0.7531,57.1,0
12,1.43,11.9,4.1,1,1,0,0,UTTAR PRADESH,0.7531,100.0,0
0,4.65,20.6,9.4,3,1,1,0,MADHYA PRADESH,0.5466,52.6,1
15,2.19,25.9,24.7,6,0,2,0,DELHI,0.1935,96.3,0
9,2.56,25.4,24.2,3,1,2,0,UTTAR PRADESH,0.7531,80.4,0
3,4.14,52.8,1.6,3,0,2,0,UTTAR PRADESH,0.7531,32.5,1
12,1.55,287.7,13.8,4,1,1,0,GUJARAT,0.3111,84.6,0
13,7.71,25.5,8.6,2,0,2,0,PUNJAB,0.103,89.0,0
17,3.74,161.4,1.3,3,1,0,1,WEST BENGAL,1.0,75.0,0
4,3.01,100.2,30.0,2,0,0,0,RAJASTHAN,0.6835,43.6,1
13,0.52,114.6,1.2,4,1,0,0,RAJASTHAN,0.6835,90.6,0
20,6.79,28.7,36.0,2,1,1,0,UTTAR PRADESH,0.7531,53.6,1
6,5.12,60.3,26.8,0,1,2,1,RAJASTHAN,0.6835,62.2,0
20,3.51,81.8,21.5,2,0,0,0,TAMIL NADU,0.2086,86.9,0
17,2.19,11.6,12.7,1,0,1,0,RAJASTHAN,0.6835,69.9,0
10,6.04,127.5,55.0,1,0,1,1,WEST BENGAL,1.0,63.2,0
21,7.58,25.1,10.2,2,0,1,0,TAMIL NADU,0.2086,68.6,0
23,3.23,15.6,4.0,0,0,0,0,MADHYA PRADESH,0.5466,55.8,1
5,1.34,105.0,5.9,3,1,2,0,UTTAR PRADESH,0.7531,83.3,0
23,1.14,95.4,0.3,1,0,3,1,GUJARAT,0.3111,47.6,1
0,0.35,71.8,42.3,1,1,2,0,KARNATAKA,0.2845,49.7,1
3,6.03,0.1,15.1,3,0,1,1,KARNATAKA,0.2845,50.2,1
1,7.86,45.8,74.9,2,0,0,1,RAJASTHAN,0.6835,44.7,1
8,7.94,12.6,20.7,4,1,0,0,RAJASTHAN,0.6835,100.0,0
22,6.34,11.9,31.0,1,1,0,0,KERALA,0.3503,71.4,0
14,1.55,126.8,19.7,1,0,1,0,MAHARASHTRA,0.5215,67.9,0
14,7.83,20.3,39.9,2,0,1,0,UTTAR PRADESH,0.7531,70.1,0
2,2.82,55.1,5.8,0,0,1,1,WEST BENGAL,1.0,5.8,1
12,2.87,24.5,3.3,3,0,1,0,TAMIL NADU,0.2086,91.1,0
9,5.59,22.5,1.7,4,1,0,0,KERALA,0.3503,100.0,0
11,0.68,42.5,28.2,2,0,1,0,UTTAR PRADESH,0.7531,81.8,0
6,6.66,13.8,1.3,2,1,3,1,KERALA,0.3503,60.9,0
4,7.98,177.1,24.4,0,0,0,0,RAJASTHAN,0.6835,37.7,1
22,6.27,24.8,54.0,4,1,0,0,MADHYA PRADESH,0.5466,51.4,1
13,6.32,124.2,130.5,2,1,1,1,TAMIL NADU,0.2086,62.7,0
9,3.31,26.1,25.2,0,0,0,1,RAJASTHAN,0.6835,79.5,0
1,0.81,42.1,0.5,2,0,1,0,RAJASTHAN,0.6835,49.8,1
18,6.4,1.9,0.8,1,0,1,0,MAHARASHTRA,0.5215,82.2,0
11,4.9,69.1,33.2,0,0,0,1,PUNJAB,0.103,95.4,0
9,7.3,134.5,108.1,2,0,2,1,MADHYA PRADESH,0.5466,49.9,1
16,1.19,119.4,12.3,2,0,0,0,KERALA,0.3503,93.0,0
3,2.65,57.9,20.7,3,0,0,0,GUJARAT,0.3111,58.0,0
12,3.08,9.3,7.1,1,0,1,0,WEST BENGAL,1.0,68.8,0
20,5.56,58.3,22.1,5,1,1,0,GUJARAT,0.3111,81.5,0
11,6.37,23.9,0.9,2,1,1,1,RAJASTHAN,0.6835,82.7,0
0,7.7,28.1,14.3,4,1,2,1,RAJASTHAN,0.6835,47.4,1
5,2.57,134.7,59.5,1,1,2,0,GUJARAT,0.3111,74.9,0
1,4.1,67.0,10.0,5,1,1,0,GUJARAT,0.3111,64.9,0
12,0.52,37.1,5.2,1,1,0,0,UTTAR PRADESH,0.7531,98.2,0
8,2.25,221.2,45.6,2,1,0,0,WEST BENGAL,1.0,72.5,0
3,3.18,12.9,13.3,3,1,1,0,MADHYA PRADESH,0.5466,68.2,0
16,4.87,36.1,40.4,3,1,0,0,DELHI,0.1935,100.0,0
4,3.93,9.8,22.0,1,1,1,1,MADHYA PRADESH,0.5466,65.8,0
8,3.11,108.3,6.9,2,0,0,0,MAHARASHTRA,0.5215,91.0,0
23,5.11,7.4,87.5,2,0,0,1,MAHARASHTRA,0.5215,55.9,1
1,6.68,139.9,4.0,4,0,0,0,MAHARASHTRA,0.5215,51.6,1
5,2.16,29.4,31.4,4,0,1,1,TAMIL NADU,0.2086,88.4,0
7,2.94,5.5,28.7,1,1,5,0,DELHI,0.1935,62.7,0
12,5.73,13.0,43.1,4,0,0,0,WEST BENGAL,1.0,68.1,0
5,6.29,69.7,6.6,1,1,0,0,UTTAR PRADESH,0.7531,88.0,0
23,6.66,13.6,5.3,2,0,1,0,UTTAR PRADESH,0.7531,46.1,1
0,1.91,26.4,30.9,4,0,2,0,KARNATAKA,0.2845,47.6,1
22,4.45,17.3,3.6,1,0,1,0,GUJARAT,0.3111,51.3,1
12,7.23,100.6,15.9,2,1,0,0,RAJASTHAN,0.6835,95.1,0
0,3.32,54.9,2.7,1,1,2,0,RAJASTHAN,0.6835,40.7,1
2,3.61,103.1,26.3,1,0,0,0,MADHYA PRADESH,0.5466,52.6,1
2,7.88,5.6,8.9,0,0,2,0,UTTAR PRADESH,0.7531,3.9,1
6,1.17,23.4,56.5,3,1,1,1,GUJARAT,0.3111,98.5,0
7,5.73,5.1,20.7,3,1,0,0,UTTAR PRADESH,0.7531,96.9,0
15,6.85,32.6,17.6,5,1,0,1,RAJASTHAN,0.6835,93.9,0
7,1.46,20.7,5.3,1,1,1,0,KERALA,0.3503,74.6,0
17,5.8,0.6,24.9,1,0,3,0,UTTAR PRADESH,0.7531,53.4,1
7,3.92,14.1,13.9,4,1,2,0,UTTAR PRADESH,0.7531,100.0,0
6,6.87,15.9,8.5,0,0,0,0,UTTAR PRADESH,0.7531,74.8,0
6,7.29,55.4,23.6,4,0,0,0,RAJASTHAN,0.6835,100.0,0
7,7.02,1.7,77.5,4,1,0,1,RAJASTHAN,0.6835,98.1,0
20,0.8,263.8,7.6,1,1,1,0,RAJASTHAN,0.6835,50.3,1
5,6.13,66.5,35.6,4,0,0,0,UTTAR PRADESH,0.7531,93.7,0
6,7.4,78.8,8.2,3,0,2,0,RAJASTHAN,0.6835,76.5,0
22,5.08,17.2,16.5,2,0,1,0,MADHYA PRADESH,0.5466,37.1,1
15,4.93,34.9,4.0,2,0,0,1,TAMIL NADU,0.2086,94.7,0
4,0.65,168.9,16.2,2,0,1,0,MAHARASHTRA,0.5215,33.8,1
20,6.89,47.5,18.8,0,1,0,0,UTTAR PRADESH,0.7531,70.5,0
4,0.66,217.3,11.7,4,1,0,0,WEST BENGAL,1.0,53.7,1
3,2.71,7.5,15.1,3,1,3,0,DELHI,0.1935,65.8,0
10,7.43,563.1,25.3,5,0,0,0,DELHI,0.1935,91.5,0
16,7.61,38.2,10.6,0,1,0,0,RAJASTHAN,0.6835,86.2,0
4,7.94,5.8,6.9,4,0,0,1,UTTAR PRADESH,0.7531,57.3,0
18,3.97,153.5,49.9,0,1,1,0,UTTAR PRADESH,0.7531,46.9,1
3,1.67,15.1,7.6,1,0,0,0,UTTAR PRADESH,0.7531,41.1,1
18,4.06,40.8,12.1,2,0,1,0,MADHYA PRADESH,0.5466,70.6,0
2,1.09,6.6,22.3,2,0,0,0,MAHARASHTRA,0.5215,60.6,0
11,7.02,34.7,4.6,1,1,1,0,RAJASTHAN,0.6835,92.7,0
15,4.62,6.4,63.3,1,1,1,0,MAHARASHTRA,0.5215,67.4,0
6,3.41,22.2,57.8,0,1,0,0,WEST BENGAL,1.0,92.8,0
14,0.91,27.9,65.5,3,0,1,0,RAJASTHAN,0.6835,85.2,0
16,3.42,103.8,16.9,1,1,0,0,GUJARAT,0.3111,92.3,0
15,6.97,23.0,10.6,5,0,2,1,RAJASTHAN,0.6835,50.7,1
9,5.72,22.2,79.6,4,0,0,0,KERALA,0.3503,78.2,0
18,0.93,41.6,25.9,2,1,0,0,RAJASTHAN,0.6835,92.4,0
17,1.53,7.8,7.1,2,1,1,0,DELHI,0.1935,82.7,0
7,3.32,35.0,30.4,4,1,0,1,HARYANA,0.1936,100.0,0
17,1.08,34.3,4.0,0,0,0,0,PUNJAB,0.103,90.7,0
22,7.49,66.7,1.8,2,1,0,0,GUJARAT,0.3111,53.2,1
19,5.32,6.8,75.1,4,0,0,0,GUJARAT,0.3111,94.9,0
17,1.03,16.1,0.4,1,1,0,0,TAMIL NADU,0.2086,100.0,0
18,6.37,102.7,2.7,4,1,1,1,GUJARAT,0.3111,91.2,0
19,3.14,32.1,3.3,3,0,1,0,RAJASTHAN,0.6835,64.9,0
6,2.19,34.5,2.4,6,1,0,0,WEST BENGAL,1.0,100.0,0
17,4.69,31.9,66.8,2,0,2,0,WEST BENGAL,1.0,51.6,1
4,0.4,10.9,20.6,1,1,0,0,DELHI,0.1935,70.5,0
8,3.88,104.8,46.4,3,0,3,0,WEST BENGAL,1.0,55.2,1
22,6.8,113.9,34.0,1,0,0,0,MAHARASHTRA,0.5215,36.1,1
6,7.45,36.0,12.8,1,1,1,1,TAMIL NADU,0.2086,74.8,0
20,2.94,36.3,53.7,3,0,0,1,UTTAR PRADESH,0.7531,75.3,0
10,5.25,66.6,4.9,2,0,1,0,RAJASTHAN,0.6835,70.1,0
5,2.05,164.7,52.1,1,1,0,0,WEST BENGAL,1.0,66.2,0
2,4.61,382.9,9.4,2,0,0,0,MAHARASHTRA,0.5215,28.3,1
13,2.26,10.3,3.5,5,1,0,0,UTTAR PRADESH,0.7531,100.0,0
10,4.7,21.8,27.3,2,0,3,0,MAHARASHTRA,0.5215,51.1,1
12,1.62,26.0,107.6,2,0,0,1,MAHARASHTRA,0.5215,83.8,0
1,7.55,60.8,13.4,1,1,1,0,UTTAR PRADESH,0.7531,35.5,1
6,7.13,83.5,2.7,1,0,3,0,MAHARASHTRA,0.5215,60.6,0
0,2.89,43.0,2.5,1,0,0,0,TAMIL NADU,0.2086,73.7,0
7,6.28,6.2,12.0,3,1,1,0,UTTAR PRADESH,0.7531,82.9,0
22,1.04,23.1,48.1,1,1,1,0,KERALA,0.3503,49.2,1
3,6.0,95.5,26.5,0,1,1,1,HARYANA,0.1936,40.2,1
16,2.47,79.9,30.1,2,0,0,0,WEST BENGAL,1.0,84.7,0
0,1.34,3.8,49.5,3,1,0,0,UTTAR PRADESH,0.7531,87.8,0
13,5.52,62.8,18.4,3,1,0,0,WEST BENGAL,1.0,81.5,0
22,3.92,65.1,32.4,3,1,0,1,DELHI,0.1935,57.6,0
8,4.38,151.6,9.8,4,1,0,1,TAMIL NADU,0.2086,100.0,0
4,4.31,251.7,4.8,1,0,2,0,GUJARAT,0.3111,32.3,1
13,0.76,0.3,54.7,1,0,0,0,WEST BENGAL,1.0,84.9,0
6,0.7,76.0,9.5,4,1,2,0,TAMIL NADU,0.2086,96.5,0
21,4.93,60.3,86.1,0,1,0,0,UTTAR PRADESH,0.7531,51.9,1
